"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Ausbildung 2020: Fachangestellte*r für Medien- und Informationsdienste, Fachrichtung Bibliothek (m/w/d), Bezahlung nach TVA-L-BBiG, Reg.-Nr.: 270/2019						","/stellenangebote/42997","Stellenangebot","5","0,00 %"
"
							Tarifbeschäftigte/-r als Bibliothekar/-in (m/w/d), E 9 Fallgr. 1 Teil II Abschnitt 1 der EGO zum TV-L; Unbefristet; Vollzeit; Kennzahl: 19_167_Dipl-Bib4; Bewerbungsfrist: 04.10.2019						","/stellenangebote/42999","Stellenangebot","5","0,00 %"
"
							Fachinformatiker/in Systemintegration (m/w/d) in der Abteilung Informationsmanagement und -Systeme, bis E 8 TV-L, Vollzeit, befristet (Entfristung angestrebt), Reg. – Nr.: 265/2019						","/stellenangebote/43003","Stellenangebot","5","0,00 %"
"
							Wissenschaftlicher Mitarbeiter (m/w/d) im Rahmen einer einjährigen Elternzeitvertretung in Vollzeit, E 13 TV-L, 2019-B10						","/stellenangebote/43013","Stellenangebot","5","0,00 %"
"
							Bibliothekarin/in Bundeswehr (m/w/d), BesGr A13/14 BBesG bzw. E13 TVöD, unbefristet in Vollzeit, Kennziffer/Referenzcode: B752314PS-2019-00005791-E						","/stellenangebote/43028","Stellenangebot","5","0,00 %"
"
							Referenten (m/w/d) Informationswissenschaftler o.ä. im Bereich Digitale Dienste, E 13 TVöD, A 13 h BBesO, unbefristet in Vollzeit und Teilzeit möglich, Kennziffer: 33/19/2D/1271						","/stellenangebote/43030","Stellenangebot","5","0,00 %"
"
							Bibliothekarin / Bibliothekar (m/w/d) , Teilzeit, zunächst befristet, Bezahlung nach TVöD						","/stellenangebote/43058","Stellenangebot","5","0,00 %"
"
							Abteilungsleiter (w/m/d) für die Stadtbibliothek Zentrum, E 12 TVöD, unbefristet in Vollzeit, Stellen-ID: 23-SD3718						","/stellenangebote/43060","Stellenangebot","5","0,00 %"
"
							Literatur-, Sprach- oder Medienpädagogin/-Pädagoge für das Projekt „Wortschatz“, E 9b TVöD- V, Teilzeit (28 Stunden), befristet bis 31.12.2020						","/stellenangebote/43062","Stellenangebot","5","0,00 %"
"
							Di­plom­bi­blio­the­kar/in bzw. Bi­blio­thek­so­be­rin­spek­tor/in (m/w/d), Kennziffer 2012 E-A 23 (11.19), Vollzeit (Teilzeit möglich), unbefristet, A 10 / E 9 (Bewertungsvermutung)						","/stellenangebote/43064","Stellenangebot","5","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste – Fachrichtung Bibliothek, E 6 TVöD oder BesGr. A6/A7 BBesO, Teilzeit, 19,5 Stunden; ID 1 / 416						","/stellenangebote/43068","Stellenangebot","5","0,00 %"
"
							Gruppenleiter*in Referat Neuzugänge, E 9 TV-L, unbefristet in Vollzeit, Kennziffer: 18/19						","/stellenangebote/43072","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, unbefristet, Teilzeit (32 Stunden), E 7 TVöD						","/stellenangebote/43074","Stellenangebot","5","0,00 %"
"
							Forschungsdatenreferent/in bzw. Datenkurator/in, E 13 TV-H, Vollzeit, zunächst befristet bis 31.12.2020, Referenznummer 600/Z						","/stellenangebote/43088","Stellenangebot","5","0,00 %"
"
							Bibliothekarin (gn)  Erwerbung, Katalogisierung, Informationskompetenz, zunächst befristet, Vollzeit, Angabe eigener Gehaltsvorstellung						","/stellenangebote/43092","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (Dipl.-Bibl./Bachelor), E 9b TVöD, unbefristet in Vollzeit (ggfs. bei übereinstimmenden Arbeitszeitmodell teilbar), T43						","/stellenangebote/43098","Stellenangebot","5","0,00 %"
"
							Fachangestellte*r für Medien- und Informationsdienste;  EG 8 TV-L, Vollzeit (zz. 39,4 Std./Wo.); befristet für zwei Jahre; Kennziffer: 17/19						","/stellenangebote/43108","Stellenangebot","5","0,00 %"
"
							Bibliothekar (m/w/d) oder Informationsmanager (m/w/d), zunächst befristet auf zwei Jahre,  Vollzeit, Vergütung nach TV-AVH, Kennziffer 2019/U 2						","/stellenangebote/43132","Stellenangebot","5","0,00 %"
"
							Fachwirtin/Fachwirt für Logistiksysteme, Fachkraft für Lagerlogistik oder vergleichbarer Abschluss, Magazin, E 8 TV-L, unbefristet in Vollzeit, Kennziffer 138/19/3.42						","/stellenangebote/43134","Stellenangebot","5","0,00 %"
"
							Drei Ausbildungsplätze zu Fachangestellten für Medien- und Informationsdienste (Fachrichtung Bibliothek) (w/m/d), Beginn 2020, Bezahlung nach TVA-L BBiG						","/stellenangebote/43136","Stellenangebot","5","0,00 %"
"
							Scholarly Communications Lead, unbefristet in Vollzeit, £39,000 (STP) or £35,750 (BSP) per ann,						","/stellenangebote/43140","Stellenangebot","5","0,00 %"
"
							Fachangestellte/-n für Medien-  und Informationsdienste (w/m/d)-  Fachrichtung Bibliothek, E5 TV-L, befristet für 2 Jahre in Teilzeit (30 Wochenstunden), Kennziffer Kb 056 19						","/stellenangebote/43142","Stellenangebot","5","0,00 %"
"
							Diplom-Bibliothekar/in, E9 TV-L, unbefristet in Vollzeit, Kennziffer 145/2019						","/stellenangebote/43144","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (BA oder Diplom) für die Landesbibliographie und das Hölderlin-Archiv, TV-L 9, ab 01.11.2019, zunächst befristet auf zwei Jahre						","/stellenangebote/43150","Stellenangebot","5","0,00 %"
"
							Technische Leitung der IT-Infrastruktur und des Digitalen Magazins Rheinland-Pfalz (A 13/E 13) (m/w/d), Bewerbungen Älterer sind erwünscht						","/stellenangebote/43166","Stellenangebot","5","0,00 %"
"
							Fachinformatiker/in mit Schwerpunkt Anwendungsentwicklung (m/w/d), E 10						","/stellenangebote/43176","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (m/w/d) oder Medienpädagoge/in (m/w/d), EG 9 b TVöD, unbefristet, Vollzeit, Kennwort: Diplom-Bibliothekar/in						","/stellenangebote/43188","Stellenangebot","5","0,00 %"
"
							Bibliothekar (m/w/d), EG 9 TV-L, (zunächst) befristet bis zum 31.12.2022, Teilzeit, Kennziffer 03/B/19						","/stellenangebote/43190","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d), EG 6 TV-L, befristet bis zum 31.03.2021, Vollzeit, ab 01.04.2021 vsl. Teil­zeit­, Kennziffer 04/B/19						","/stellenangebote/43192","Stellenangebot","5","0,00 %"
"
							Auszubildende Fachangestellte/r für Medien- und Informationsdienste, 2020						","/stellenangebote/43198","Stellenangebot","5","0,00 %"
"
							Mitarbeit*er/in an der Universitätsbibliothek, Fachbibliothek der Gesellschaftswissenschaften, 23 Stunden, unbefristet, VGr. IIa, Dienstantritt: ab 1.10.2019,  GZ A 0147/1-2019						","/stellenangebote/43200","Stellenangebot","5","0,00 %"
"
							Bibliotheksangestellte/r; EG 6 TVöD, Vollzeit; befristet; KNr: 31/19						","/stellenangebote/43222","Stellenangebot","5","0,00 %"
"
							Fachangestellten für Medien- und Informationsdienste (m/w/d) – Fachrichtung Archiv oder Bibliothek, zunächst befristet, Vollzeit, VöD-​VKA E 6						","/stellenangebote/43254","Stellenangebot","5","0,00 %"
"
							Fachangestellte*r für Medien- und Informationsdienste  Fachrichtung: Bibliothek, Ausbildungsstart 12.08.2020, Kennung HS_AZUBI_01/19						","/stellenangebote/43256","Stellenangebot","5","0,00 %"
"
							Fachangestellter für Medien- und Informationsdienste (m/w/d), Vollzeit, unbefristet, E 6 TVöD						","/stellenangebote/43260","Stellenangebot","5","0,00 %"
"
							Ausbildung zur/ zum Fachangestellten für Medien- und Informationsdienste B7506754Y-2019-00005832-E, Ausbildungsbeginn 2020, Bezahlung nach TVAöD						","/stellenangebote/43266","Stellenangebot","5","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste (m/w/d) , E 7 TVöD, befristet zur Vertretung, Vollzeit, Chiffre – Nr.: 42190801						","/stellenangebote/43270","Stellenangebot","5","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste (m/w/d), E 6 TVöD, befristet bis zum 30. April 2023, Teilzeit, Chiffre – Nr.: 42190802						","/stellenangebote/43272","Stellenangebot","5","0,00 %"
"
							Regierungsbeschäftigte (m/w/d) im Bereich der Bibliothek im Dezernat 13.3 der FHöV NRW (EG 9 TV – L), Kennwort „Bibliothek Zentrale“, befristet für zwei Jahre, Vollzeit						","/stellenangebote/43275","Stellenangebot","5","0,00 %"
"
							Mitarbeiter/-in im Sekretariat/Direktionsbüro (m/w/d), E 6 TV-L, zunächst befristet auf zwei Jahre, Vollzeit (Tandem-teilzeitfähig), Referenznummer 19D36A						","/stellenangebote/43284","Stellenangebot","5","0,00 %"
"
							Bibliothekar*in, unbefristet, Vollzeit (Tandem-teilzeitfähig), E 9 TV-L						","/stellenangebote/43290","Stellenangebot","5","0,00 %"
"
							Sachbearbeiter/-in Kreisarchiv, E  9 TVöD, 36 Stunden pro Woche						","/stellenangebote/4330","Stellenangebot","5","0,00 %"
"
							Mitarbeiter/-in in der Personalverwaltung (m/w/d), Referenznummer 19D36B, bis zu E10 TV-L, Vollzeit (Tandem-teilzeitfähig), zunächst befristet auf zwei Jahre						","/stellenangebote/43304","Stellenangebot","5","0,00 %"
"
							Wissenschaftliche/r Mitarbeiter/-in als Softwareentwickler/-in (m/w/d) im Projekt „Wissens-Aggregator Mittelalter und Frühe Neuzeit (WIAG)“, TV‑L E 13, Vollzeit, befristet bis  zum 31.12.2022						","/stellenangebote/43315","Stellenangebot","5","0,00 %"
"
							Musikbibliothekar/in (m/w/d), E 9c TVöD, unbefristet in Teilzeit, Verf. 10015						","/stellenangebote/43324","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in, E 9b TVöD, unbefristet, in Teilzeit, Verf.Nr. 10301						","/stellenangebote/43328","Stellenangebot","5","0,00 %"
"
							Librarian specialist, CDI, 40h/week, Ref.: AC-100016						","/stellenangebote/43331","Stellenangebot","5","0,00 %"
"
							Sachgebietsleiter_in (w/m/d) Geschäftsstelle sba (Bibliotheksangestellte_r), E 12 TVöD, Vollzeit (Teilzeit möglich), befristet bis 30.11.2021, Kennziffer Z13520/0116						","/stellenangebote/43336","Stellenangebot","5","0,00 %"
"
							Fachangestellte bzw. Fachangestellter (m/w/d) für Medien- und Informationsdienste oder Fotografin bzw. Fotograf (m/w/d) (E5, 24 Monate)						","/stellenangebote/43344","Stellenangebot","5","0,00 %"
"
							Fachfrau I+D/Fachmann I+D, Teilzeit (60%), Besoldung nach kantonalen Richtlinien						","/stellenangebote/43346","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d) in Teilzeit (50%), E 6 TV-L						","/stellenangebote/43348","Stellenangebot","5","0,00 %"
"
							Fachangestellte bzw. Fachangestellter für Medien- und Informationsdienste, unbefristet in Teilzeit, 17 Std./Woche						","/stellenangebote/43356","Stellenangebot","5","0,00 %"
"
							studentische/r Tutor/in, Bezahlung: € 10,13 / Stunde						","/stellenangebote/43358","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (m/w/d), E 9b TVöD, befristet bis 19.08.2020, Vollzeit, Kennziffer 2019-20-42-SD						","/stellenangebote/43360","Stellenangebot","5","0,00 %"
"
							Bibliothekarin / Bibliothekar (w/m/d) oder Archivarin / Archivar (w/m/d), TVöD-​Bund E 9b – TVöD-​Bund E 11, Vollzeit, unbefristet, Kennziffer 49/19 Bibl 6.3b						","/stellenangebote/43362","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien und Informationsdienste, EG 6 TV-L, KENNZIFFER 004/19, befristete Vollzeitstelle zur Krankheitsvertretung						","/stellenangebote/43364","Stellenangebot","5","0,00 %"
"
							drei Mitarbeiter/-innen (m/w/d) in der Technischen Betreuung / Benutzerkontrolle-Einweisung (25 Wochenstunden, befristet 2 Jahre, TV-L E 3) Kennziffer 07 19 07						","/stellenangebote/43372","Stellenangebot","5","0,00 %"
"
							Bibliothekarin / Bibliothekar (w/m/d), E 9 TV-L, befristet auf 2 Jahre, Vollzeit (Teilzeit möglich)						","/stellenangebote/43374","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien und Informationsdienste oder Bibliotheksassistentin/ten (m/w/d), unbefristet, Teilzeit 70%, als ständige als Stellvertretung des Bibliotheksleiters, nach TVöD						","/stellenangebote/43402","Stellenangebot","5","0,00 %"
"
							Wissenschaftlichen Dokumentar (m/w/d) zur Ausbildung (Programmaustausch Video), befristet 24 Monate, Vollzeit, tariflichen Vergütungssätze für Wissenschaftliche Dokumentare in Ausbildung						","/stellenangebote/43413","Stellenangebot","5","0,00 %"
"
							Wissenschaftlichen Dokumentar (m/w/d) zur Ausbildung (Presse), befristet 24 Monate, Vollzeit, tariflichen Vergütungssätze für Wissenschaftliche Dokumentare in Ausbildung						","/stellenangebote/43415","Stellenangebot","5","0,00 %"
"
							Wissenschaftlichen Dokumentar (m/w/d) zur Ausbildung (Mediendokumentation), befristet 24 Monate, Vollzeit, tariflichen Vergütungssätze für Wissenschaftliche Dokumentare in Ausbildung						","/stellenangebote/43419","Stellenangebot","5","0,00 %"
"
							Fachangestellte/n für Medien- und Informationsdienste (m/w/d), EG 5 TVöD, befristet bis 31.08.2020, Vollzeit						","/stellenangebote/43421","Stellenangebot","5","0,00 %"
"
							Fachangestellte/Fachangestellter für Medien und Informationsdienste – Fachrichtung Bibliothek, E 6 TVöD, Vollzeit (Teilzeit möglich), unbefristet, Kennziffer BIB 01/2019						","/stellenangebote/43426","Stellenangebot","5","0,00 %"
"
							Leitung der Mediathek: Diplom-Bibliothekar (m/w/d) bzw. Bachelor of Arts in Bibliotheks- und Informationsmanagement (m/w/d), EG 11 TVöD, unbefristet, Vollzeit, Kennziffer „44-42“						","/stellenangebote/43437","Stellenangebot","5","0,00 %"
"
							Bibliotheksleitung, Teilzeit (50%), E 9b TVöD, unbefristet						","/stellenangebote/43482","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste bzw. Bibliotheksassistent, E 5 bzw. 6 TVöD, unbefristet, Vollzeit, auch gut für Berufsanfänger geeignet						","/stellenangebote/43490","Stellenangebot","5","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste (w/m/d), unbefristet, Betreff „VG19AQ29“						","/stellenangebote/43492","Stellenangebot","5","0,00 %"
"
							Archivar*in, EG 9 TV-L, befristet für drei Jahre, Vollzeit, teilzeitgeeignet						","/stellenangebote/43494","Stellenangebot","5","0,00 %"
"
							Ausbildung: Fachangestellte/r für Medien- und Informationsdienste (m/w/d) – Fachrichtung Archiv, Beginn 2020						","/stellenangebote/43500","Stellenangebot","5","0,00 %"
"
							FACHANGESTELLTE/R (m/w/d) FÜR MEDIEN UND INFORMATIONSDIENSTE (FAMI) – FACHRICHTUNG BIBLIOTHEK BZW. ALS BIBLIOTHEKSASSISTENT/IN (m/w/d),  E5 / E6 TV-L, unbefristet, Teilzeit, KENNZIFFER WS192003M						","/stellenangebote/43521","Stellenangebot","5","0,00 %"
"
							Fachangestellte/-r für Medien- und Informationsdienste für die Fahrbibliothek (m/w/d), E 8 TVÖD, befristet für Dauer der Elternzeit einer Mitarbeiterin, Vollzeit, Kennzahl: 41/0039/2019						","/stellenangebote/43527","Stellenangebot","5","0,00 %"
"
							Ausbildung zum Fachangestellten für Medien- und Informationsdienste (m/w/d), Fachrichtung Bibliothek ab September 2020						","/stellenangebote/43557","Stellenangebot","5","0,00 %"
"
							Fachreferent/in (m/w/d), E 13 TV-L, unbefristet, Vollzeit, Reg. Nr.: 287/2019						","/stellenangebote/43567","Stellenangebot","5","0,00 %"
"
							Spezialist/in e-Ressourcen Management, Vollzeit, befristet, Mindestentgelt beträgt 2.409,10 Euro brutto, Kennzahl: 381						","/stellenangebote/43569","Stellenangebot","5","0,00 %"
"
							Fachkraft in der Campusbibliothek, Entlohnungsgruppe A2/1 bzw. v2/1, Vollzeit, unbefristet, Referenzcode: BMBWF-19-2071						","/stellenangebote/43571","Stellenangebot","5","0,00 %"
"
							Webentwicklerin/Webentwickler (m/w/d) Entgeltgruppe 13 TV-L, Abteilung Publikationsplattformen, befristet auf 4 Jahre, Vollzeit aber auch teilzeitgeeignet, Zeichen: MAK 15/19						","/stellenangebote/43604","Stellenangebot","5","0,00 %"
"
							Fachspezialistin / Fachspezialist, Teilzeit (80%), Referenznummer: 39708						","/stellenangebote/43613","Stellenangebot","5","0,00 %"
"
							Informationsspezialist/in, Teilzeit (80%)						","/stellenangebote/43615","Stellenangebot","5","0,00 %"
"
							Bibliothekarin / Bibliothekar als Stellvertreterin / Stellvertreter der Bibliotheksleitung, Teilzeit (80%)						","/stellenangebote/43617","Stellenangebot","5","0,00 %"
"
							Leitung der Abteilung Handschriften und Alte Drucke, BesGr. A 14 BBesO, VK 08/2013						","/stellenangebote/4362","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (m/w/d) (FH, Bachelor), E 9 TV-L, unbefristet in Teilzeit 50% , Kennziffer 1981						","/stellenangebote/43653","Stellenangebot","5","0,00 %"
"
							Ausbildung zum Fachangestellten für Medien- und Informationsdienste (m/w/d), September 2020						","/stellenangebote/43655","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d), Fachrichtung Archiv oder Bibliothek, unbefristet, in Voll- oder Teilzeit, EG 6 TVöD						","/stellenangebote/43682","Stellenangebot","5","0,00 %"
"
							[Fristverlängerung] Bibliothekar/in Publikations- und Datenmanagement (m/w/d), unbefristet, Vollzeit, E 9 TV-L, Kennziffer: 71/19						","/stellenangebote/43688","Stellenangebot","5","0,00 %"
"
							Diplom-Bibliothekar/in, E 9 TV-L bzw. A 9, unbefristet in Vollzeit, Kennziffer 157/2019						","/stellenangebote/43692","Stellenangebot","5","0,00 %"
"
							Bibliothekar_in / Archivar_in (B. A. bzw. Diplom) (w/m/d), TV-L E 9, Vollzeit, befristet						","/stellenangebote/43694","Stellenangebot","5","0,00 %"
"
							Bibliotheksbeschäftigte/n (m/w/d) in Vollzeit, bewertet nach Entgeltgruppe 6 TV-L, unbefristet						","/stellenangebote/43698","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (Diplom / BA) im Bereich Medienbearbeitung, A 9 / E 9b TV-L, unbefristet in Vollzeit, BO-2019-08-21-270517						","/stellenangebote/43700","Stellenangebot","5","0,00 %"
"
							Fachangestellte/r (w/m/d) für Medien- und Informationsdienste, EG 5 TV-L, unbefristet, in Vollzeit						","/stellenangebote/43702","Stellenangebot","5","0,00 %"
"
							Fachangestellte*r für Medien- und Informationsdienste für die stellvertretende Leitung der Stadtbücherei, E 8 TVöD, 30 Wochenstunden, unbefristet						","/stellenangebote/43717","Stellenangebot","5","0,00 %"
"
							[Fristverlängerung] Wissenschaftliche*r Bibliothekar*in (w/m/d) im Projekt „Wissenschaftliche Bibliotheken gestalten den digitalen Wandel – BW-BIG DIWA“, TV-L E13, Vollzeit, befristet bis 30.06.2021, Kennziffer 00000689						","/stellenangebote/43729","Stellenangebot","5","0,00 %"
"
							Bibliotheksmitarbeiter (m/w/d), E 6 TV-L, Vollzeit, befristet						","/stellenangebote/43731","Stellenangebot","5","0,00 %"
"
							Diplom-Bibliothekar/in oder Informationswissenschaftler/in (m/w/d), befristet						","/stellenangebote/43733","Stellenangebot","5","0,00 %"
"
							stellvertretende Bibliotheksleitung (m,w,d), befristet						","/stellenangebote/43762","Stellenangebot","5","0,00 %"
"
							Personal- und Organisationsentwickler (m/w/d), TV-L E12, unbefristet in Vollzeit						","/stellenangebote/43764","Stellenangebot","5","0,00 %"
"
							Leiter*in Referat Einbandstelle, E 9 TV-L, Vollzeit, befristet für 15 Monate, Kennziffer: 13/19						","/stellenangebote/43768","Stellenangebot","5","0,00 %"
"
							wissenschaftliche*r Mitarbeiter*in für forschungsbasierte Innovation von EconBiz, EG 13 TV-L, Vollzeit, befristet nach WissZeitVG, Kenn-Nr. C3-01						","/stellenangebote/43772","Stellenangebot","5","0,00 %"
"
							Fachangestellte/-r für Medien- und Informationsdienste (m/w/d), Team Wissen Stadtbibliothek am Mailänder Platz, EG 9 a TVöD, baldmöglichst befristet						","/stellenangebote/43776","Stellenangebot","5","0,00 %"
"
							Ausbildung Fachangestellte/r für Medien und Informationsdienste – Bibliothek (m/w/d)						","/stellenangebote/43778","Stellenangebot","5","0,00 %"
"
							Koordinator*in für Provenienzforschung (m/w/d), Entgeltgruppe 11 TVöD, befristet für die Dauer von zwei Jahren, Vollzeit, Kennziffer SBB-IIIR-3-2019						","/stellenangebote/43780","Stellenangebot","5","0,00 %"
"
							Projektmitarbeiter/in (m/w/d) zum Aufbau einer Koordinierungsstelle zur bibliothekarischen Weiterbildung, EG 13 TV-L, zunächst 3 Jahre befristet, Vollzeit						","/stellenangebote/43782","Stellenangebot","5","0,00 %"
"
							15 Stellen: Beschäftigter in Bibliotheken (m/w/d), 25 v.H. d. regelmäßigen Arbeitszeit, E 3 TV-L HU, Kennziffer: AN/277/19						","/stellenangebote/43786","Stellenangebot","5","0,00 %"
"
							5 Stellen: Beschäftigte in Bibliotheken (m/w/d), 25 v.H. d. regelmäßigen Arbeitszeit, E 4 TV-L HU, Kennziffer: AN/278/19						","/stellenangebote/43788","Stellenangebot","5","0,00 %"
"
							Diplombibliothekar(in) im Infoteam, befristet Elternzeitvertrerung bis 18.9.2020, Vollzeit mit 39,2 Wochenstunden, Entgeltgruppe 9 TV-L, Kennzeichen INFO B						","/stellenangebote/43828","Stellenangebot","5","0,00 %"
"
							Bibliothekar/-in (m/w/d), Diplom/BA, unbefristet in Vollzeit, Bezahlung nach TV-L						","/stellenangebote/43835","Stellenangebot","5","0,00 %"
"
							Fachangestellte*r für Medien- und Informationsdienste, Fachrichtung Bibliothek, für die stellvertretende Leitung der Stadtbücherei, Teilzeit (30 Wochenstunden), E 8 TVöD, unbefristet						","/stellenangebote/43872","Stellenangebot","5","0,00 %"
"
							Bachelor Bibliotheks- oder Informationsmanagement (w/m/d), A 9 L-BesG NRW /  E 9 TV-L, Vollzeit, unbefristet, Kennziffer: 600-19						","/stellenangebote/43896","Stellenangebot","5","0,00 %"
"
							FAMI (m/w/d) zur Mitarbeit in der Stadtteilbibliothek Huchting / unbefristet / E 9a TVöD / Teilzeit 35 Std.-Wo. / zum 01.04.2020						","/stellenangebote/43927","Stellenangebot","5","0,00 %"
"
							Mitarbeiter/-in (m/w/d) im Bereich E-Medien und Open Access, E 9 TV-L, zunächst befristet auf zwei Jahre, Vollzeit (Teilung der Stelle für Teilzeit möglich), Referenznummer 19M39						","/stellenangebote/43944","Stellenangebot","5","0,00 %"
"
							IT-Spezialist*in für Datenintegration und Berichtsentwicklung in der Abteilung Forschungsinformationen & Forschungsberichterstattung, unbefristet in Vollzeit, Bezahlung nach TV-L, Kennziffer: 19640051						","/stellenangebote/43954","Stellenangebot","5","0,00 %"
"
							Leiterin/Leiter der Gemeindebücherei mit dem Abschluss Diplom-Bibliothekar/-in oder Bachelorabschluss im Bibliotheks- und Informationsmanagement (m/w/d); E 10 TVöD, befristet in Vollzeit						","/stellenangebote/43975","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in, E 9b TV AVH, unbefristet in Vollzeit, KP_3237						","/stellenangebote/43977","Stellenangebot","5","0,00 %"
"
							Studentische Aushilfen (m/w/d) für den Aufsichtsdienst und den Katalogverkauf im Rahmen von Ausstellungen, 3,5 – 7 Std./wö., TV-L E2, befristet 4 Monate, Kennziffer 01 19 08						","/stellenangebote/44007","Stellenangebot","5","0,00 %"
"
							Referentin/Referent für Forschungsinformation und Berichtswesen, TV-L E 13, Teilzeit, Vollzeit zeitweise möglich						","/stellenangebote/44009","Stellenangebot","5","0,00 %"
"
							Bibliothekar (m/w/d) als Fachliche Leitung der Abteilung Publikationsservice, EG 11 TV-L, unbefristet, Vollzeit , Kennziffer: 05/B/19						","/stellenangebote/44075","Stellenangebot","5","0,00 %"
"
							Wissenschaftliche Mitarbeiterin / Wissenschaftlichen Mitarbeiter (m/w/d) für den Bereich Informationskompetenz, 11 TV-L, Teilzeit 50%, unbefristet						","/stellenangebote/44077","Stellenangebot","5","0,00 %"
"
							Wissenschaftliche Mitarbeiterin / Wissenschaftlichen Mitarbeiter (m/w/d) für den Bereich Informationskompetenz, 11 TV-L, Vollzeit, unbefristet						","/stellenangebote/44079","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in (w/m/d) für unser Team in der Zweigbibliothek Waldstadt und Stern, E 9b TVöD, befristet bis voraussichtlich 30.04.2020, 24 Wo.Std., Kennziffer 272.100.15						","/stellenangebote/44081","Stellenangebot","5","0,00 %"
"
							Wissenschaftliche Bibliothekarin mit feministischem Interesse, Freude an Teamarbeit und der Kommunikation mit NutzerInnen, Vollzeit						","/stellenangebote/44091","Stellenangebot","5","0,00 %"
"
							Wissenschaftliche/r Mitarbeiterin/Mitarbeiter, bis E 13 TVöD, ab sofort befristet für zwei Jahre, Vollzeit (Teilzeit möglich), Kennziffer: 2397/2019						","/stellenangebote/44095","Stellenangebot","5","0,00 %"
"
							Digitalisierung der Mozart Ton- und Filmsammlung, 10 Wochenstunden / flexible Zeiteinteilung, € 507 Brutto						","/stellenangebote/44139","Stellenangebot","5","0,00 %"
"
							Fachkraft für Medien- und Informationsdienste (m/w/d); E 6 TVöD, unbefristet, Kennziffer: BAMF-2019-380						","/stellenangebote/44141","Stellenangebot","5","0,00 %"
"
							Bibliothekar/-in (m/w/d), E 9b, Teilzeit mit 28,5 Wochenstunden, befristet bis 28.11.2020						","/stellenangebote/44163","Stellenangebot","5","0,00 %"
"
							Verantwortliche/r Archiv, Dokumentation, Digitalisierung, Entgeltgruppe 9c TVöD, unbefristet, Vollzeit						","/stellenangebote/44169","Stellenangebot","5","0,00 %"
"
							8 Sachbearbeiter/innen (m/w/d) im Bereich der Öffentlichkeitsarbeit, Besucherbetreuung, Darstellung des Archivs und Veranstaltungen, E 9c – E 10 TVöD, Vollzeit (Teilzeit möglich)						","/stellenangebote/44203","Stellenangebot","5","0,00 %"
"
							Beschäftigter (m/w/d) in Bibliotheken – E 5 TV-L HU (Vertretungseinstellung befristet vorauss. bis 12.04.2020; Verlängerung ggf. möglich) (AN/302/19)						","/stellenangebote/44209","Stellenangebot","5","0,00 %"
"
							Bibliothekar*in, EG 9c TVöD, Vollzeit, unbefristet, Kennziffer 2019-30.6-2292						","/stellenangebote/44261","Stellenangebot","5","0,00 %"
"
							Wissenschaftlicher Referent (m/w/x) in Vollzeitbeschäftigung, zunächst 2 Jahre befristet, nach TVöD, Kennziffer 02/NFDI2019						","/stellenangebote/44306","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in Erwerbung und Erschließung, EG 9 TV-L, Teilzeit 35 h/Woche, unbefristet, N88-19						","/stellenangebote/44355","Stellenangebot","5","0,00 %"
"
							Bibliothekar/in, E 9c TVöD, unbefristet in Vollzeit, Referenznummer „DIXA242006“						","/stellenangebote/44359","Stellenangebot","5","0,00 %"
"
							Informationsspezialist/-in, 90%, unbefristet						","/stellenangebote/44415","Stellenangebot","5","0,00 %"
"
							Leiter Campus-Bibliothek / Bibliothekar (Diplom/B.A.) / E 9b TVöD, 32 Wochenstunden, befristet						","/stellenangebote/44419","Stellenangebot","5","0,00 %"
"
							studentische Hilfskraft für das Drittmittel- und Forschungsmanagement						","/stellenangebote/44425","Stellenangebot","5","0,00 %"
"
							Leitende/r Bibliothekar/in (m/w/d), Teilzeit (30 Std./Woche), befristet, E 9, Referenznummer 08-19012, TV-L E 9						","/stellenangebote/44433","Stellenangebot","5","0,00 %"
