"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Leiter*in der Bibliothek, in Anlehnung E 13 TVöD zzgl. Bankzulage, Verbeamtung bis A 15 mögl.						","/stellenangebote/68319","Stellenangebot","381","0,03 %"
"
							Fachangestellte:r für Medien- und Informationsdienste (E8, unbefristet)						","/stellenangebote/68341","Stellenangebot","380","0,03 %"
"
							Mitarbeiterin/Mitarbeiter (m/w/d) Bibliothek in Vollzeit, unbefristet, E9/A9						","/stellenangebote/60983","Stellenangebot","374","0,02 %"
"
							Diplombibliothekar/in, Nettomonatsgehalt beträgt mindestens € 2.979,73						","/stellenangebote/61998","Stellenangebot","373","0,02 %"
"
							Wissenschaftliche/r Volontär/in (m/w/d) / Fachrichtung: Kunstgeschichte, Kunstwissenschaft oder Kunstpädagogik/Kunstvermittlung, Vergütung: 50% E 13 TV-L, Vollzeit, Kennziffer GB/UB-02/21						","/stellenangebote/57545","Stellenangebot","371","0,02 %"
"
							/blog/einrichtungstyp/archiv						","/blog/einrichtungstyp/archiv","","369","0,02 %"
"
							Projektleiter/in im Bereich Digitalisierung von Bibliotheksgut, Sachsen						","/stellenangebote/62257","Stellenangebot","363","0,02 %"
"
							Bibliotheksreferendariat (Fach aus den Sozial- oder Erziehungswissenschaften, der Philosophie, Theoologie oder Geschichte) zum 1.10.21, zweijähriger Vorbereitungsdienst						","/stellenangebote/61322","Stellenangebot","359","0,02 %"
"
							Bibliothekar/-in für die integrierte Bearbeitung von Monographien (m/w/d) (A9/ EG 9b TV-L)						","/stellenangebote/60494","Stellenangebot","356","0,02 %"
"
							Direktor (m/w/d) der Universitätsbibliothek Leipzig, bis A 16, unbefristet, Vollzeit						","/stellenangebote/63540","Stellenangebot","354","0,02 %"
"
							Auslandspraktikum Bibliothek der Deutschen Schule Lissabon						","/stellenangebote/65555","Stellenangebot","353","0,02 %"
"
							Fachangestellte /n für Medien- und Informationsdienste (m/w/d) (EG 8 TV-L) unbefristet/ Vollzeit						","/stellenangebote/57009","Stellenangebot","351","0,02 %"
"
							/stellenangebote/page/3						","/stellenangebote/page/3","","350","0,02 %"
"
							Generaldirektor (m/w/d), außertariflich, unbefristet in Vollzeit						","/stellenangebote/61634","Stellenangebot","348","0,02 %"
"
							Fachreferent*in Geisteswissenschaften/ Leiter*in der Benutzungsabteilung (m/w/d),  A13/14 BBesG, Vollzeit, unbefristet, Kennziffer Bibl-0121						","/stellenangebote/58368","Stellenangebot","347","0,02 %"
"
							Wissenschaftliche:r Bibliotheksmitarbeiter:in (m/w/d), A 13 / EG 13 TV-H, Vollzeit, unbefristet, Kennziffer HLB-M-18/21						","/stellenangebote/59953","Stellenangebot","347","0,02 %"
"
							Bibliothekar/in, E 11 TVöD bzw. A 12 BBesO, unbefristet in Vollzeit, Kennziffer 490						","/stellenangebote/59108","Stellenangebot","346","0,02 %"
"
							Eine*n Editionsassistent*in (m/w/d),Teilzeit 50%, befristet						","/stellenangebote/62009","Stellenangebot","345","0,02 %"
"
							Fachreferentin / Fachreferent (w/m/d), A 13 BayBesG bzw. E 13 TV-L, in Vollzeit, vorerst auf zwei Jahre befristet, Übernahme vorgesehen						","/stellenangebote/61558","Stellenangebot","343","0,02 %"
"
							VK 05/21 Bibliothekar/-in (m/w/d) (EG 9b TV-L)						","/stellenangebote/61523","Stellenangebot","341","0,02 %"
"
							Bibliotheksrätin/rat (w/m/d), unbefristet in Vollzeit, KennNr. 353						","/stellenangebote/62740","Stellenangebot","341","0,02 %"
"
							Bibliothekar*in (m/w/d) im Stadtarchiv,  E 10 TVöD, unbefristet in Vollzeit, Kennziffer 2021.43.0001						","/stellenangebote/58945","Stellenangebot","339","0,02 %"
"
							Projektmanager/Wissenschaftlicher Mitarbeiter für die Deutsche Digitalen Bibliothek (m/w/d), E 13 TVöD, unbefristet, Vollzeit						","/stellenangebote/62116","Stellenangebot","339","0,02 %"
"
							[Fristverlängerung] Bibliothekar in der Abteilung Benutzung / Teilbibliothek Geisteswissenschaften (m/w/d), unbefristet, Vollzeit, E 9b TV-L, Registrier-Nummer 037/2021						","/stellenangebote/58374","Stellenangebot","338","0,02 %"
"
							Leitung der Bibliothek der Fachbereiche Sprache, Literatur und Medien sowie Geschichte und Philosophie, E 14 TV-L, unbefristet, teilzeitgeeignete Vollzeitstelle						","/stellenangebote/62524","Stellenangebot","330","0,02 %"
"
							Bibliotheksreferendar/in Fachrichtung: Geschichtswissenschaft mit dem Schwerpunkt mittelalterliche Geschichte, Mediävistik oder ältere Germanistik						","/stellenangebote/56423","Stellenangebot","328","0,02 %"
"
							Bibliothekar*in, Kennziffer 20.414.04, Vollzeit, E 12 TVöD, unbefristet						","/stellenangebote/57580","Stellenangebot","328","0,02 %"
"
							[Fristverlängerung] Fachangestellte/r für Medien- und Informationsdienst, Fachrichtung Bibliothek (m/w/d), Vollzeit, unbefristet.						","/stellenangebote/59257","Stellenangebot","328","0,02 %"
